Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
51,AllBallots,box1,607,,bid607,,
52,AllBallots,box1,980,,bid980,,
53,AllBallots,box1,495,,bid495,,
54,AllBallots,box1,857,,bid857,,
55,AllBallots,box1,339,,bid339,,
56,AllBallots,box1,288,,bid288,,
57,AllBallots,box1,299,,bid299,,
58,AllBallots,box1,68,,bid68,,
59,AllBallots,box1,298,,bid298,,
60,AllBallots,box1,90,,bid90,,
61,AllBallots,box1,627,,bid627,,
62,AllBallots,box1,929,,bid929,,
63,AllBallots,box1,317,,bid317,,
64,AllBallots,box1,82,,bid82,,
65,AllBallots,box1,520,,bid520,,
66,AllBallots,box1,651,,bid651,,
67,AllBallots,box1,251,,bid251,,
68,AllBallots,box1,295,,bid295,,
69,AllBallots,box1,555,,bid555,,
70,AllBallots,box1,435,,bid435,,
71,AllBallots,box1,118,,bid118,,
72,AllBallots,box1,33,,bid33,,
73,AllBallots,box1,514,,bid514,,
74,AllBallots,box1,812,,bid812,,
75,AllBallots,box1,274,,bid274,,
76,AllBallots,box1,940,,bid940,,
77,AllBallots,box1,422,,bid422,,
78,AllBallots,box1,18,,bid18,,
79,AllBallots,box1,408,,bid408,,
80,AllBallots,box1,943,,bid943,,
81,AllBallots,box1,278,,bid278,,
82,AllBallots,box1,411,,bid411,,
83,AllBallots,box1,119,,bid119,,
84,AllBallots,box1,904,,bid904,,
85,AllBallots,box1,210,,bid210,,
86,AllBallots,box1,892,,bid892,,
87,AllBallots,box1,923,,bid923,,
88,AllBallots,box1,41,,bid41,,
89,AllBallots,box1,545,,bid545,,
90,AllBallots,box1,420,,bid420,,
91,AllBallots,box1,873,,bid873,,
92,AllBallots,box1,126,,bid126,,
93,AllBallots,box1,128,,bid128,,
94,AllBallots,box1,57,,bid57,,
95,AllBallots,box1,431,,bid431,,
96,AllBallots,box1,649,,bid649,,
97,AllBallots,box1,760,,bid760,,
98,AllBallots,box1,927,,bid927,,
99,AllBallots,box1,266,,bid266,,
100,AllBallots,box1,605,,bid605,,
101,AllBallots,box1,43,,bid43,,
102,AllBallots,box1,221,,bid221,,
103,AllBallots,box1,330,,bid330,,
104,AllBallots,box1,662,,bid662,,
105,AllBallots,box1,228,,bid228,,
106,AllBallots,box1,804,,bid804,,
107,AllBallots,box1,859,,bid859,,
108,AllBallots,box1,79,,bid79,,
109,AllBallots,box1,993,,bid993,,
110,AllBallots,box1,416,,bid416,,
111,AllBallots,box1,270,,bid270,,
112,AllBallots,box1,701,,bid701,,
113,AllBallots,box1,875,,bid875,,
114,AllBallots,box1,686,,bid686,,
115,AllBallots,box1,703,,bid703,,
116,AllBallots,box1,937,,bid937,,
117,AllBallots,box1,549,,bid549,,
118,AllBallots,box1,102,,bid102,,
119,AllBallots,box1,573,,bid573,,
120,AllBallots,box1,430,,bid430,,
121,AllBallots,box1,35,,bid35,,
122,AllBallots,box1,281,,bid281,,
123,AllBallots,box1,106,,bid106,,
124,AllBallots,box1,645,,bid645,,
125,AllBallots,box1,144,,bid144,,
126,AllBallots,box1,867,,bid867,,
127,AllBallots,box1,820,,bid820,,
128,AllBallots,box1,643,,bid643,,
129,AllBallots,box1,818,,bid818,,
130,AllBallots,box1,350,,bid350,,
131,AllBallots,box1,344,,bid344,,
132,AllBallots,box1,329,,bid329,,
133,AllBallots,box1,983,,bid983,,
134,AllBallots,box1,830,,bid830,,
135,AllBallots,box1,763,,bid763,,
136,AllBallots,box1,225,,bid225,,
137,AllBallots,box1,189,,bid189,,
138,AllBallots,box1,667,,bid667,,
139,AllBallots,box1,542,,bid542,,
140,AllBallots,box1,364,,bid364,,
141,AllBallots,box1,217,,bid217,,
142,AllBallots,box1,590,,bid590,,
143,AllBallots,box1,498,,bid498,,
144,AllBallots,box1,159,,bid159,,
145,AllBallots,box1,198,,bid198,,
146,AllBallots,box1,915,,bid915,,
147,AllBallots,box1,235,,bid235,,
148,AllBallots,box1,143,,bid143,,
149,AllBallots,box1,141,,bid141,,
150,AllBallots,box1,807,,bid807,,
151,AllBallots,box1,568,,bid568,,
152,AllBallots,box1,115,,bid115,,
153,AllBallots,box1,550,,bid550,,
154,AllBallots,box1,738,,bid738,,
155,AllBallots,box1,227,,bid227,,
156,AllBallots,box1,380,,bid380,,
157,AllBallots,box1,523,,bid523,,
158,AllBallots,box1,242,,bid242,,
159,AllBallots,box1,368,,bid368,,
160,AllBallots,box1,754,,bid754,,
161,AllBallots,box1,287,,bid287,,
162,AllBallots,box1,27,,bid27,,
163,AllBallots,box1,600,,bid600,,
164,AllBallots,box1,124,,bid124,,
165,AllBallots,box1,241,,bid241,,
166,AllBallots,box1,311,,bid311,,
167,AllBallots,box1,24,,bid24,,
168,AllBallots,box1,793,,bid793,,
169,AllBallots,box1,890,,bid890,,
170,AllBallots,box1,384,,bid384,,
171,AllBallots,box1,276,,bid276,,
172,AllBallots,box1,569,,bid569,,
173,AllBallots,box1,264,,bid264,,
174,AllBallots,box1,205,,bid205,,
175,AllBallots,box1,307,,bid307,,
176,AllBallots,box1,546,,bid546,,
177,AllBallots,box1,502,,bid502,,
178,AllBallots,box1,372,,bid372,,
179,AllBallots,box1,49,,bid49,,
180,AllBallots,box1,924,,bid924,,
181,AllBallots,box1,446,,bid446,,
182,AllBallots,box1,877,,bid877,,
183,AllBallots,box1,427,,bid427,,
184,AllBallots,box1,902,,bid902,,
185,AllBallots,box1,808,,bid808,,
186,AllBallots,box1,635,,bid635,,
187,AllBallots,box1,55,,bid55,,
188,AllBallots,box1,361,,bid361,,
189,AllBallots,box1,730,,bid730,,
190,AllBallots,box1,48,,bid48,,
191,AllBallots,box1,966,,bid966,,
192,AllBallots,box1,94,,bid94,,
193,AllBallots,box1,646,,bid646,,
194,AllBallots,box1,941,,bid941,,
195,AllBallots,box1,683,,bid683,,
196,AllBallots,box1,13,,bid13,,
197,AllBallots,box1,774,,bid774,,
198,AllBallots,box1,390,,bid390,,
199,AllBallots,box1,699,,bid699,,
200,AllBallots,box1,671,,bid671,,
201,AllBallots,box1,596,,bid596,,
202,AllBallots,box1,893,,bid893,,
203,AllBallots,box1,96,,bid96,,
204,AllBallots,box1,265,,bid265,,
205,AllBallots,box1,733,,bid733,,
206,AllBallots,box1,922,,bid922,,
207,AllBallots,box1,757,,bid757,,
208,AllBallots,box1,302,,bid302,,
209,AllBallots,box1,963,,bid963,,
210,AllBallots,box1,894,,bid894,,
211,AllBallots,box1,172,,bid172,,
212,AllBallots,box1,389,,bid389,,
213,AllBallots,box1,831,,bid831,,
214,AllBallots,box1,991,,bid991,,
215,AllBallots,box1,685,,bid685,,
216,AllBallots,box1,425,,bid425,,
217,AllBallots,box1,565,,bid565,,
218,AllBallots,box1,156,,bid156,,
219,AllBallots,box1,856,,bid856,,
220,AllBallots,box1,702,,bid702,,
221,AllBallots,box1,734,,bid734,,
222,AllBallots,box1,614,,bid614,,
223,AllBallots,box1,97,,bid97,,
224,AllBallots,box1,858,,bid858,,
225,AllBallots,box1,406,,bid406,,
226,AllBallots,box1,474,,bid474,,
227,AllBallots,box1,374,,bid374,,
228,AllBallots,box1,752,,bid752,,
229,AllBallots,box1,531,,bid531,,
230,AllBallots,box1,147,,bid147,,
231,AllBallots,box1,72,,bid72,,
232,AllBallots,box1,358,,bid358,,
233,AllBallots,box1,925,,bid925,,
234,AllBallots,box1,626,,bid626,,
235,AllBallots,box1,680,,bid680,,
236,AllBallots,box1,560,,bid560,,
237,AllBallots,box1,530,,bid530,,
238,AllBallots,box1,478,,bid478,,
239,AllBallots,box1,832,,bid832,,
240,AllBallots,box1,470,,bid470,,
241,AllBallots,box1,150,,bid150,,
242,AllBallots,box1,652,,bid652,,
243,AllBallots,box1,692,,bid692,,
244,AllBallots,box1,981,,bid981,,
245,AllBallots,box1,54,,bid54,,
246,AllBallots,box1,179,,bid179,,
247,AllBallots,box1,135,,bid135,,
248,AllBallots,box1,432,,bid432,,
249,AllBallots,box1,123,,bid123,,
250,AllBallots,box1,448,,bid448,,
251,AllBallots,box1,246,,bid246,,
252,AllBallots,box1,736,,bid736,,
253,AllBallots,box1,739,,bid739,,
254,AllBallots,box1,744,,bid744,,
255,AllBallots,box1,512,,bid512,,
256,AllBallots,box1,714,,bid714,,
257,AllBallots,box1,53,,bid53,,
258,AllBallots,box1,466,,bid466,,
259,AllBallots,box1,56,,bid56,,
260,AllBallots,box1,689,,bid689,,
261,AllBallots,box1,947,,bid947,,
262,AllBallots,box1,708,,bid708,,
263,AllBallots,box1,621,,bid621,,
264,AllBallots,box1,944,,bid944,,
265,AllBallots,box1,313,,bid313,,
266,AllBallots,box1,994,,bid994,,
267,AllBallots,box1,515,,bid515,,
268,AllBallots,box1,675,,bid675,,
269,AllBallots,box1,895,,bid895,,
270,AllBallots,box1,544,,bid544,,
271,AllBallots,box1,529,,bid529,,
272,AllBallots,box1,816,,bid816,,
273,AllBallots,box1,684,,bid684,,
274,AllBallots,box1,577,,bid577,,
275,AllBallots,box1,623,,bid623,,
276,AllBallots,box1,484,,bid484,,
277,AllBallots,box1,76,,bid76,,
278,AllBallots,box1,710,,bid710,,
279,AllBallots,box1,187,,bid187,,
280,AllBallots,box1,907,,bid907,,
281,AllBallots,box1,378,,bid378,,
282,AllBallots,box1,767,,bid767,,
283,AllBallots,box1,535,,bid535,,
284,AllBallots,box1,283,,bid283,,
285,AllBallots,box1,407,,bid407,,
286,AllBallots,box1,723,,bid723,,
287,AllBallots,box1,16,,bid16,,
288,AllBallots,box1,336,,bid336,,
289,AllBallots,box1,508,,bid508,,
290,AllBallots,box1,700,,bid700,,
291,AllBallots,box1,796,,bid796,,
292,AllBallots,box1,650,,bid650,,
293,AllBallots,box1,306,,bid306,,
294,AllBallots,box1,348,,bid348,,
295,AllBallots,box1,839,,bid839,,
296,AllBallots,box1,64,,bid64,,
297,AllBallots,box1,36,,bid36,,
298,AllBallots,box1,990,,bid990,,
299,AllBallots,box1,296,,bid296,,
300,AllBallots,box1,659,,bid659,,
301,AllBallots,box1,865,,bid865,,
302,AllBallots,box1,370,,bid370,,
303,AllBallots,box1,603,,bid603,,
304,AllBallots,box1,593,,bid593,,
305,AllBallots,box1,23,,bid23,,
306,AllBallots,box1,644,,bid644,,
307,AllBallots,box1,672,,bid672,,
308,AllBallots,box1,366,,bid366,,
309,AllBallots,box1,677,,bid677,,
310,AllBallots,box1,151,,bid151,,
311,AllBallots,box1,346,,bid346,,
312,AllBallots,box1,834,,bid834,,
313,AllBallots,box1,322,,bid322,,
314,AllBallots,box1,776,,bid776,,
315,AllBallots,box1,727,,bid727,,
316,AllBallots,box1,355,,bid355,,
317,AllBallots,box1,52,,bid52,,
318,AllBallots,box1,328,,bid328,,
319,AllBallots,box1,920,,bid920,,
320,AllBallots,box1,188,,bid188,,
321,AllBallots,box1,869,,bid869,,
322,AllBallots,box1,706,,bid706,,
323,AllBallots,box1,171,,bid171,,
324,AllBallots,box1,855,,bid855,,
325,AllBallots,box1,548,,bid548,,
326,AllBallots,box1,779,,bid779,,
327,AllBallots,box1,325,,bid325,,
328,AllBallots,box1,619,,bid619,,
329,AllBallots,box1,681,,bid681,,
330,AllBallots,box1,615,,bid615,,
331,AllBallots,box1,110,,bid110,,
332,AllBallots,box1,798,,bid798,,
333,AllBallots,box1,108,,bid108,,
334,AllBallots,box1,557,,bid557,,
335,AllBallots,box1,224,,bid224,,
336,AllBallots,box1,132,,bid132,,
337,AllBallots,box1,428,,bid428,,
338,AllBallots,box1,886,,bid886,,
339,AllBallots,box1,125,,bid125,,
340,AllBallots,box1,984,,bid984,,
341,AllBallots,box1,437,,bid437,,
342,AllBallots,box1,333,,bid333,,
343,AllBallots,box1,697,,bid697,,
344,AllBallots,box1,139,,bid139,,
345,AllBallots,box1,666,,bid666,,
346,AllBallots,box1,99,,bid99,,
347,AllBallots,box1,153,,bid153,,
348,AllBallots,box1,792,,bid792,,
349,AllBallots,box1,458,,bid458,,
350,AllBallots,box1,112,,bid112,,
351,AllBallots,box1,887,,bid887,,
352,AllBallots,box1,483,,bid483,,
353,AllBallots,box1,51,,bid51,,
354,AllBallots,box1,591,,bid591,,
355,AllBallots,box1,698,,bid698,,
356,AllBallots,box1,992,,bid992,,
357,AllBallots,box1,554,,bid554,,
358,AllBallots,box1,196,,bid196,,
359,AllBallots,box1,900,,bid900,,
360,AllBallots,box1,661,,bid661,,
361,AllBallots,box1,165,,bid165,,
362,AllBallots,box1,524,,bid524,,
363,AllBallots,box1,974,,bid974,,
364,AllBallots,box1,571,,bid571,,
365,AllBallots,box1,772,,bid772,,
366,AllBallots,box1,192,,bid192,,
367,AllBallots,box1,39,,bid39,,
368,AllBallots,box1,538,,bid538,,
369,AllBallots,box1,967,,bid967,,
370,AllBallots,box1,234,,bid234,,
371,AllBallots,box1,481,,bid481,,
372,AllBallots,box1,337,,bid337,,
373,AllBallots,box1,912,,bid912,,
374,AllBallots,box1,98,,bid98,,
375,AllBallots,box1,574,,bid574,,
376,AllBallots,box1,259,,bid259,,
377,AllBallots,box1,490,,bid490,,
378,AllBallots,box1,928,,bid928,,
379,AllBallots,box1,340,,bid340,,
380,AllBallots,box1,612,,bid612,,
381,AllBallots,box1,954,,bid954,,
382,AllBallots,box1,492,,bid492,,
383,AllBallots,box1,441,,bid441,,
384,AllBallots,box1,827,,bid827,,
385,AllBallots,box1,163,,bid163,,
386,AllBallots,box1,464,,bid464,,
387,AllBallots,box1,30,,bid30,,
388,AllBallots,box1,257,,bid257,,
389,AllBallots,box1,381,,bid381,,
390,AllBallots,box1,334,,bid334,,
391,AllBallots,box1,442,,bid442,,
392,AllBallots,box1,842,,bid842,,
393,AllBallots,box1,44,,bid44,,
394,AllBallots,box1,209,,bid209,,
395,AllBallots,box1,919,,bid919,,
396,AllBallots,box1,26,,bid26,,
397,AllBallots,box1,211,,bid211,,
398,AllBallots,box1,819,,bid819,,
399,AllBallots,box1,657,,bid657,,
400,AllBallots,box1,280,,bid280,,
401,AllBallots,box1,866,,bid866,,
402,AllBallots,box1,836,,bid836,,
403,AllBallots,box1,86,,bid86,,
404,AllBallots,box1,673,,bid673,,
405,AllBallots,box1,853,,bid853,,
406,AllBallots,box1,398,,bid398,,
407,AllBallots,box1,182,,bid182,,
408,AllBallots,box1,506,,bid506,,
409,AllBallots,box1,497,,bid497,,
410,AllBallots,box1,305,,bid305,,
411,AllBallots,box1,500,,bid500,,
412,AllBallots,box1,540,,bid540,,
413,AllBallots,box1,988,,bid988,,
414,AllBallots,box1,742,,bid742,,
415,AllBallots,box1,821,,bid821,,
416,AllBallots,box1,911,,bid911,,
417,AllBallots,box1,965,,bid965,,
418,AllBallots,box1,476,,bid476,,
419,AllBallots,box1,160,,bid160,,
420,AllBallots,box1,864,,bid864,,
421,AllBallots,box1,611,,bid611,,
422,AllBallots,box1,95,,bid95,,
423,AllBallots,box1,522,,bid522,,
424,AllBallots,box1,34,,bid34,,
425,AllBallots,box1,136,,bid136,,
426,AllBallots,box1,961,,bid961,,
427,AllBallots,box1,861,,bid861,,
428,AllBallots,box1,232,,bid232,,
429,AllBallots,box1,220,,bid220,,
430,AllBallots,box1,717,,bid717,,
431,AllBallots,box1,871,,bid871,,
432,AllBallots,box1,632,,bid632,,
433,AllBallots,box1,107,,bid107,,
434,AllBallots,box1,996,,bid996,,
435,AllBallots,box1,401,,bid401,,
436,AllBallots,box1,315,,bid315,,
437,AllBallots,box1,862,,bid862,,
438,AllBallots,box1,541,,bid541,,
439,AllBallots,box1,297,,bid297,,
440,AllBallots,box1,566,,bid566,,
441,AllBallots,box1,824,,bid824,,
442,AllBallots,box1,999,,bid999,,
443,AllBallots,box1,713,,bid713,,
444,AllBallots,box1,664,,bid664,,
445,AllBallots,box1,901,,bid901,,
446,AllBallots,box1,845,,bid845,,
447,AllBallots,box1,958,,bid958,,
448,AllBallots,box1,395,,bid395,,
449,AllBallots,box1,177,,bid177,,
450,AllBallots,box1,80,,bid80,,
451,AllBallots,box1,376,,bid376,,
452,AllBallots,box1,637,,bid637,,
453,AllBallots,box1,826,,bid826,,
454,AllBallots,box1,388,,bid388,,
455,AllBallots,box1,412,,bid412,,
456,AllBallots,box1,914,,bid914,,
457,AllBallots,box1,373,,bid373,,
458,AllBallots,box1,629,,bid629,,
459,AllBallots,box1,185,,bid185,,
460,AllBallots,box1,222,,bid222,,
461,AllBallots,box1,962,,bid962,,
462,AllBallots,box1,617,,bid617,,
463,AllBallots,box1,461,,bid461,,
464,AllBallots,box1,447,,bid447,,
465,AllBallots,box1,400,,bid400,,
466,AllBallots,box1,783,,bid783,,
467,AllBallots,box1,705,,bid705,,
468,AllBallots,box1,155,,bid155,,
469,AllBallots,box1,957,,bid957,,
470,AllBallots,box1,386,,bid386,,
471,AllBallots,box1,503,,bid503,,
472,AllBallots,box1,273,,bid273,,
473,AllBallots,box1,551,,bid551,,
474,AllBallots,box1,181,,bid181,,
475,AllBallots,box1,781,,bid781,,
476,AllBallots,box1,797,,bid797,,
477,AllBallots,box1,773,,bid773,,
478,AllBallots,box1,709,,bid709,,
479,AllBallots,box1,440,,bid440,,
480,AllBallots,box1,426,,bid426,,
481,AllBallots,box1,881,,bid881,,
482,AllBallots,box1,45,,bid45,,
483,AllBallots,box1,598,,bid598,,
484,AllBallots,box1,985,,bid985,,
485,AllBallots,box1,690,,bid690,,
486,AllBallots,box1,835,,bid835,,
487,AllBallots,box1,338,,bid338,,
488,AllBallots,box1,828,,bid828,,
489,AllBallots,box1,253,,bid253,,
490,AllBallots,box1,279,,bid279,,
491,AllBallots,box1,880,,bid880,,
492,AllBallots,box1,162,,bid162,,
493,AllBallots,box1,479,,bid479,,
494,AllBallots,box1,202,,bid202,,
495,AllBallots,box1,955,,bid955,,
496,AllBallots,box1,61,,bid61,,
497,AllBallots,box1,308,,bid308,,
498,AllBallots,box1,152,,bid152,,
499,AllBallots,box1,860,,bid860,,
500,AllBallots,box1,309,,bid309,,
501,AllBallots,box1,903,,bid903,,
502,AllBallots,box1,575,,bid575,,
503,AllBallots,box1,433,,bid433,,
504,AllBallots,box1,641,,bid641,,
505,AllBallots,box1,245,,bid245,,
506,AllBallots,box1,494,,bid494,,
507,AllBallots,box1,320,,bid320,,
508,AllBallots,box1,472,,bid472,,
509,AllBallots,box1,392,,bid392,,
510,AllBallots,box1,363,,bid363,,
511,AllBallots,box1,70,,bid70,,
512,AllBallots,box1,248,,bid248,,
513,AllBallots,box1,73,,bid73,,
514,AllBallots,box1,468,,bid468,,
515,AllBallots,box1,71,,bid71,,
516,AllBallots,box1,17,,bid17,,
517,AllBallots,box1,745,,bid745,,
518,AllBallots,box1,417,,bid417,,
519,AllBallots,box1,735,,bid735,,
520,AllBallots,box1,588,,bid588,,
521,AllBallots,box1,356,,bid356,,
522,AllBallots,box1,556,,bid556,,
523,AllBallots,box1,167,,bid167,,
524,AllBallots,box1,314,,bid314,,
525,AllBallots,box1,164,,bid164,,
526,AllBallots,box1,829,,bid829,,
527,AllBallots,box1,766,,bid766,,
528,AllBallots,box1,956,,bid956,,
529,AllBallots,box1,418,,bid418,,
530,AllBallots,box1,109,,bid109,,
531,AllBallots,box1,175,,bid175,,
532,AllBallots,box1,534,,bid534,,
533,AllBallots,box1,193,,bid193,,
534,AllBallots,box1,3,,bid3,,
535,AllBallots,box1,362,,bid362,,
536,AllBallots,box1,780,,bid780,,
537,AllBallots,box1,616,,bid616,,
538,AllBallots,box1,825,,bid825,,
539,AllBallots,box1,559,,bid559,,
540,AllBallots,box1,564,,bid564,,
541,AllBallots,box1,847,,bid847,,
542,AllBallots,box1,751,,bid751,,
543,AllBallots,box1,933,,bid933,,
544,AllBallots,box1,909,,bid909,,
545,AllBallots,box1,870,,bid870,,
546,AllBallots,box1,572,,bid572,,
547,AllBallots,box1,778,,bid778,,
548,AllBallots,box1,354,,bid354,,
549,AllBallots,box1,972,,bid972,,
550,AllBallots,box1,230,,bid230,,
551,AllBallots,box1,491,,bid491,,
552,AllBallots,box1,233,,bid233,,
553,AllBallots,box1,148,,bid148,,
554,AllBallots,box1,715,,bid715,,
555,AllBallots,box1,888,,bid888,,
556,AllBallots,box1,282,,bid282,,
557,AllBallots,box1,558,,bid558,,
558,AllBallots,box1,582,,bid582,,
559,AllBallots,box1,687,,bid687,,
560,AllBallots,box1,9,,bid9,,
561,AllBallots,box1,748,,bid748,,
562,AllBallots,box1,585,,bid585,,
563,AllBallots,box1,28,,bid28,,
564,AllBallots,box1,878,,bid878,,
565,AllBallots,box1,157,,bid157,,
566,AllBallots,box1,117,,bid117,,
567,AllBallots,box1,482,,bid482,,
568,AllBallots,box1,978,,bid978,,
569,AllBallots,box1,105,,bid105,,
570,AllBallots,box1,443,,bid443,,
571,AllBallots,box1,255,,bid255,,
572,AllBallots,box1,691,,bid691,,
573,AllBallots,box1,29,,bid29,,
574,AllBallots,box1,896,,bid896,,
575,AllBallots,box1,665,,bid665,,
576,AllBallots,box1,137,,bid137,,
577,AllBallots,box1,841,,bid841,,
578,AllBallots,box1,562,,bid562,,
579,AllBallots,box1,286,,bid286,,
580,AllBallots,box1,513,,bid513,,
581,AllBallots,box1,594,,bid594,,
582,AllBallots,box1,770,,bid770,,
583,AllBallots,box1,63,,bid63,,
584,AllBallots,box1,223,,bid223,,
585,AllBallots,box1,755,,bid755,,
586,AllBallots,box1,116,,bid116,,
587,AllBallots,box1,285,,bid285,,
588,AllBallots,box1,945,,bid945,,
589,AllBallots,box1,899,,bid899,,
590,AllBallots,box1,787,,bid787,,
591,AllBallots,box1,926,,bid926,,
592,AllBallots,box1,718,,bid718,,
593,AllBallots,box1,817,,bid817,,
594,AllBallots,box1,597,,bid597,,
595,AllBallots,box1,725,,bid725,,
596,AllBallots,box1,843,,bid843,,
597,AllBallots,box1,260,,bid260,,
598,AllBallots,box1,8,,bid8,,
599,AllBallots,box1,111,,bid111,,
600,AllBallots,box1,975,,bid975,,
601,AllBallots,box1,528,,bid528,,
602,AllBallots,box1,823,,bid823,,
603,AllBallots,box1,722,,bid722,,
604,AllBallots,box1,183,,bid183,,
605,AllBallots,box1,69,,bid69,,
606,AllBallots,box1,178,,bid178,,
607,AllBallots,box1,737,,bid737,,
608,AllBallots,box1,11,,bid11,,
609,AllBallots,box1,682,,bid682,,
610,AllBallots,box1,261,,bid261,,
611,AllBallots,box1,595,,bid595,,
612,AllBallots,box1,918,,bid918,,
613,AllBallots,box1,769,,bid769,,
614,AllBallots,box1,291,,bid291,,
615,AllBallots,box1,794,,bid794,,
616,AllBallots,box1,77,,bid77,,
617,AllBallots,box1,674,,bid674,,
618,AllBallots,box1,457,,bid457,,
619,AllBallots,box1,293,,bid293,,
620,AllBallots,box1,795,,bid795,,
621,AllBallots,box1,921,,bid921,,
622,AllBallots,box1,365,,bid365,,
623,AllBallots,box1,849,,bid849,,
624,AllBallots,box1,219,,bid219,,
625,AllBallots,box1,149,,bid149,,
626,AllBallots,box1,936,,bid936,,
627,AllBallots,box1,173,,bid173,,
628,AllBallots,box1,604,,bid604,,
629,AllBallots,box1,360,,bid360,,
630,AllBallots,box1,460,,bid460,,
631,AllBallots,box1,729,,bid729,,
632,AllBallots,box1,720,,bid720,,
633,AllBallots,box1,369,,bid369,,
634,AllBallots,box1,939,,bid939,,
635,AllBallots,box1,197,,bid197,,
636,AllBallots,box1,258,,bid258,,
637,AllBallots,box1,252,,bid252,,
638,AllBallots,box1,310,,bid310,,
639,AllBallots,box1,7,,bid7,,
640,AllBallots,box1,459,,bid459,,
641,AllBallots,box1,695,,bid695,,
642,AllBallots,box1,50,,bid50,,
643,AllBallots,box1,799,,bid799,,
644,AllBallots,box1,138,,bid138,,
645,AllBallots,box1,413,,bid413,,
646,AllBallots,box1,84,,bid84,,
647,AllBallots,box1,803,,bid803,,
648,AllBallots,box1,74,,bid74,,
649,AllBallots,box1,473,,bid473,,
650,AllBallots,box1,586,,bid586,,
651,AllBallots,box1,191,,bid191,,
652,AllBallots,box1,917,,bid917,,
653,AllBallots,box1,199,,bid199,,
654,AllBallots,box1,789,,bid789,,
655,AllBallots,box1,294,,bid294,,
656,AllBallots,box1,240,,bid240,,
657,AllBallots,box1,756,,bid756,,
658,AllBallots,box1,552,,bid552,,
659,AllBallots,box1,728,,bid728,,
660,AllBallots,box1,145,,bid145,,
661,AllBallots,box1,584,,bid584,,
662,AllBallots,box1,539,,bid539,,
663,AllBallots,box1,553,,bid553,,
664,AllBallots,box1,579,,bid579,,
665,AllBallots,box1,66,,bid66,,
666,AllBallots,box1,567,,bid567,,
667,AllBallots,box1,19,,bid19,,
668,AllBallots,box1,868,,bid868,,
669,AllBallots,box1,578,,bid578,,
670,AllBallots,box1,399,,bid399,,
671,AllBallots,box1,359,,bid359,,
672,AllBallots,box1,341,,bid341,,
673,AllBallots,box1,676,,bid676,,
674,AllBallots,box1,631,,bid631,,
675,AllBallots,box1,2,,bid2,,
676,AllBallots,box1,218,,bid218,,
677,AllBallots,box1,679,,bid679,,
678,AllBallots,box1,168,,bid168,,
679,AllBallots,box1,741,,bid741,,
680,AllBallots,box1,324,,bid324,,
681,AllBallots,box1,14,,bid14,,
682,AllBallots,box1,848,,bid848,,
683,AllBallots,box1,660,,bid660,,
684,AllBallots,box1,204,,bid204,,
685,AllBallots,box1,471,,bid471,,
686,AllBallots,box1,814,,bid814,,
687,AllBallots,box1,200,,bid200,,
688,AllBallots,box1,262,,bid262,,
689,AllBallots,box1,526,,bid526,,
690,AllBallots,box1,844,,bid844,,
691,AllBallots,box1,533,,bid533,,
692,AllBallots,box1,775,,bid775,,
693,AllBallots,box1,375,,bid375,,
694,AllBallots,box1,101,,bid101,,
695,AllBallots,box1,10,,bid10,,
